source,target,type
tech:T2.04.01,tech:T2.04,belongs_to
tech:T2.05.01,tech:T2.05,belongs_to
tech:T2.05.02,tech:T2.05,belongs_to
tech:T2.05.03,tech:T2.05,belongs_to
tech:T2.05.04,tech:T2.05,belongs_to
tech:T2.05.05,tech:T2.05,belongs_to
tech:T3.01.01,tech:T3.01,belongs_to
tech:T3.01.02,tech:T3.01,belongs_to
tech:T3.01.03,tech:T3.01,belongs_to
tech:T3.01.04,tech:T3.01,belongs_to
tech:T3.01.05,tech:T3.01,belongs_to
tech:T3.01.06,tech:T3.01,belongs_to
tech:T3.01.07,tech:T3.01,belongs_to
tech:T3.01.08,tech:T3.01,belongs_to
tech:T3.02.01,tech:T3.02,belongs_to
tech:T3.02.02,tech:T3.02,belongs_to
tech:T3.02.03,tech:T3.02,belongs_to
tech:T3.02.04,tech:T3.02,belongs_to
tech:T3.03.01,tech:T3.03,belongs_to
tech:T3.03.02,tech:T3.03,belongs_to
tech:T3.03.03,tech:T3.03,belongs_to
tech:T3.03.04,tech:T3.03,belongs_to
tech:T3.03.05,tech:T3.03,belongs_to
tech:T3.03.06,tech:T3.03,belongs_to
tech:T3.03.07,tech:T3.03,belongs_to
tech:T3.03.08,tech:T3.03,belongs_to
tech:T3.03.09,tech:T3.03,belongs_to
tech:T3.04.01,tech:T3.04,belongs_to
tech:T3.04.02,tech:T3.04,belongs_to
tech:T3.04.03,tech:T3.04,belongs_to
tech:T3.04.04,tech:T3.04,belongs_to
tech:T3.05.01,tech:T3.05,belongs_to
tech:T3.05.02,tech:T3.05,belongs_to
tech:T3.05.03,tech:T3.05,belongs_to
tech:T3.05.04,tech:T3.05,belongs_to
tech:T3.06.01,tech:T3.06,belongs_to
tech:T3.06.02,tech:T3.06,belongs_to
tech:T3.06.03,tech:T3.06,belongs_to
tech:T3.06.04,tech:T3.06,belongs_to
tech:T3.06.05,tech:T3.06,belongs_to
tech:T3.07.01,tech:T3.07,belongs_to
tech:T3.07.02,tech:T3.07,belongs_to
tech:T3.08.01,tech:T3.08,belongs_to
tech:T3.08.02,tech:T3.08,belongs_to
tech:T3.08.03,tech:T3.08,belongs_to
tech:T3.08.04,tech:T3.08,belongs_to
tech:T4.01.01,tech:T4.01,belongs_to
tech:T4.01.02,tech:T4.01,belongs_to
tech:T4.01.03,tech:T4.01,belongs_to
tech:T4.01.04,tech:T4.01,belongs_to
tech:T4.01.05,tech:T4.01,belongs_to
tech:T4.01.06,tech:T4.01,belongs_to
tech:T4.02.01,tech:T4.02,belongs_to
tech:T4.03.01,tech:T4.03,belongs_to
tech:T4.03.02,tech:T4.03,belongs_to
tech:T4.03.03,tech:T4.03,belongs_to
tech:T4.03.04,tech:T4.03,belongs_to
tech:T4.03.05,tech:T4.03,belongs_to
tech:T4.03.06,tech:T4.03,belongs_to
tech:T4.04.01,tech:T4.04,belongs_to
tech:T4.04.02,tech:T4.04,belongs_to
tech:T4.04.03,tech:T4.04,belongs_to
tech:T4.04.04,tech:T4.04,belongs_to
tech:T4.04.05,tech:T4.04,belongs_to
tech:T4.04.06,tech:T4.04,belongs_to
tech:T4.04.07,tech:T4.04,belongs_to
tech:T4.04.08,tech:T4.04,belongs_to
tech:T4.04.09,tech:T4.04,belongs_to
tech:T4.04.10,tech:T4.04,belongs_to
tech:T4.04.11,tech:T4.04,belongs_to
tech:T4.04.12,tech:T4.04,belongs_to
tech:T4.04.13,tech:T4.04,belongs_to
tech:T4.05.01,tech:T4.05,belongs_to
tech:T4.05.02,tech:T4.05,belongs_to
tech:T5.01.01,tech:T5.01,belongs_to
tech:T5.01.02,tech:T5.01,belongs_to
tech:T5.02.01,tech:T5.02,belongs_to
tech:T5.03.01,tech:T5.03,belongs_to
tech:T5.04.01,tech:T5.04,belongs_to
tech:T5.04.02,tech:T5.04,belongs_to
tech:T6.01.01,tech:T6.01,belongs_to
tech:T6.01.02,tech:T6.01,belongs_to
tech:T6.01.03,tech:T6.01,belongs_to
tech:T6.01.04,tech:T6.01,belongs_to
tech:T6.01.05,tech:T6.01,belongs_to
tech:T6.01.06,tech:T6.01,belongs_to
tech:T6.02.01,tech:T6.02,belongs_to
tech:T6.03.01,tech:T6.03,belongs_to
tech:T6.03.02,tech:T6.03,belongs_to
tech:T6.03.03,tech:T6.03,belongs_to
tech:T6.03.04,tech:T6.03,belongs_to
tech:T6.04.01,tech:T6.04,belongs_to
tech:T6.04.02,tech:T6.04,belongs_to
tech:T7.01.01,tech:T7.01,belongs_to
tech:T7.01.02,tech:T7.01,belongs_to
tech:T7.01.03,tech:T7.01,belongs_to
tech:T7.01.04,tech:T7.01,belongs_to
tech:T7.01.05,tech:T7.01,belongs_to
tech:T7.01.06,tech:T7.01,belongs_to
tech:T7.01.07,tech:T7.01,belongs_to
tech:T7.01.08,tech:T7.01,belongs_to
tech:T7.01.09,tech:T7.01,belongs_to
tech:T7.01.10,tech:T7.01,belongs_to
tech:T7.02.01,tech:T7.02,belongs_to
tech:T7.02.02,tech:T7.02,belongs_to
tech:T7.02.03,tech:T7.02,belongs_to
tech:T7.02.04,tech:T7.02,belongs_to
tech:T7.02.05,tech:T7.02,belongs_to
tech:T7.02.06,tech:T7.02,belongs_to
tech:T7.03.01,tech:T7.03,belongs_to
tech:T7.03.02,tech:T7.03,belongs_to
tech:T7.03.03,tech:T7.03,belongs_to
tech:T7.04.01,tech:T7.04,belongs_to
tech:T7.04.02,tech:T7.04,belongs_to
tech:T7.04.03,tech:T7.04,belongs_to
tech:T7.04.04,tech:T7.04,belongs_to
tech:T7.05.01,tech:T7.05,belongs_to
tech:T7.06.01,tech:T7.06,belongs_to
tech:T7.06.02,tech:T7.06,belongs_to
tech:T7.06.03,tech:T7.06,belongs_to
tech:T7.06.04,tech:T7.06,belongs_to
tech:T7.06.05,tech:T7.06,belongs_to
tech:T7.06.06,tech:T7.06,belongs_to
tech:T7.07.01,tech:T7.07,belongs_to
tech:T7.07.02,tech:T7.07,belongs_to
tech:T7.07.03,tech:T7.07,belongs_to
tech:T7.07.04,tech:T7.07,belongs_to
tech:T7.07.05,tech:T7.07,belongs_to
tech:T7.08.01,tech:T7.08,belongs_to
tech:T7.08.02,tech:T7.08,belongs_to
tech:T7.08.03,tech:T7.08,belongs_to
tech:T7.08.04,tech:T7.08,belongs_to
fam:编程语言,tech:T5.03,supports_domain
cap:Python,fam:编程语言,belongs_to_family
cap:C++,fam:编程语言,belongs_to_family
cap:C,fam:编程语言,belongs_to_family
cap:Java,fam:编程语言,belongs_to_family
cap:Go,fam:编程语言,belongs_to_family
cap:MATLAB,fam:编程语言,belongs_to_family
cap:Simulink,fam:编程语言,belongs_to_family
fam:AI框架,tech:T1.05,supports_domain
cap:PyTorch,fam:AI框架,belongs_to_family
cap:TensorFlow,fam:AI框架,belongs_to_family
cap:JAX,fam:AI框架,belongs_to_family
cap:TensorRT,fam:AI框架,belongs_to_family
cap:ONNX,fam:AI框架,belongs_to_family
cap:CUDA,fam:AI框架,belongs_to_family
cap:OpenCV,fam:AI框架,belongs_to_family
cap:PCL,fam:AI框架,belongs_to_family
fam:机器人框架,tech:T5.01,supports_domain
cap:ROS/ROS2,fam:机器人框架,belongs_to_family
cap:MoveIt,fam:机器人框架,belongs_to_family
cap:Gazebo,fam:机器人框架,belongs_to_family
cap:Isaac Sim/Lab,fam:机器人框架,belongs_to_family
cap:MuJoCo,fam:机器人框架,belongs_to_family
cap:Webots,fam:机器人框架,belongs_to_family
fam:算法-感知,tech:T2.01,supports_domain
cap:SLAM,fam:算法-感知,belongs_to_family
cap:计算机视觉,fam:算法-感知,belongs_to_family
cap:目标检测,fam:算法-感知,belongs_to_family
cap:语义分割,fam:算法-感知,belongs_to_family
cap:点云处理,fam:算法-感知,belongs_to_family
cap:NeRF/3DGS,fam:算法-感知,belongs_to_family
cap:深度估计,fam:算法-感知,belongs_to_family
cap:目标跟踪,fam:算法-感知,belongs_to_family
fam:算法-控制,tech:T1.03,supports_domain
cap:运动控制,fam:算法-控制,belongs_to_family
cap:路径规划,fam:算法-控制,belongs_to_family
cap:轨迹优化,fam:算法-控制,belongs_to_family
cap:阻抗控制,fam:算法-控制,belongs_to_family
cap:力控,fam:算法-控制,belongs_to_family
cap:运动学,fam:算法-控制,belongs_to_family
cap:动力学,fam:算法-控制,belongs_to_family
cap:MPC,fam:算法-控制,belongs_to_family
fam:算法-AI,tech:T1.05,supports_domain
cap:VLA,fam:算法-AI,belongs_to_family
cap:LLM,fam:算法-AI,belongs_to_family
cap:强化学习,fam:算法-AI,belongs_to_family
cap:模仿学习,fam:算法-AI,belongs_to_family
cap:深度学习,fam:算法-AI,belongs_to_family
cap:机器学习,fam:算法-AI,belongs_to_family
cap:Transformer,fam:算法-AI,belongs_to_family
cap:Diffusion,fam:算法-AI,belongs_to_family
cap:多模态,fam:算法-AI,belongs_to_family
cap:端到端学习,fam:算法-AI,belongs_to_family
cap:自然语言处理,fam:算法-AI,belongs_to_family
fam:算法-应用,tech:T1.07,supports_domain
cap:RAG,fam:算法-应用,belongs_to_family
cap:Agent,fam:算法-应用,belongs_to_family
cap:Prompt Engineering,fam:算法-应用,belongs_to_family
cap:LangChain,fam:算法-应用,belongs_to_family
fam:软件工程,tech:T5.03,supports_domain
cap:Linux,fam:软件工程,belongs_to_family
cap:Docker,fam:软件工程,belongs_to_family
cap:Kubernetes,fam:软件工程,belongs_to_family
cap:Git,fam:软件工程,belongs_to_family
cap:CI/CD,fam:软件工程,belongs_to_family
cap:DevOps,fam:软件工程,belongs_to_family
fam:嵌入式/硬件,tech:T3.05,supports_domain
cap:嵌入式开发,fam:嵌入式/硬件,belongs_to_family
cap:MCU,fam:嵌入式/硬件,belongs_to_family
cap:ARM,fam:嵌入式/硬件,belongs_to_family
cap:FPGA,fam:嵌入式/硬件,belongs_to_family
cap:DSP,fam:嵌入式/硬件,belongs_to_family
cap:CAN,fam:嵌入式/硬件,belongs_to_family
cap:EtherCAT,fam:嵌入式/硬件,belongs_to_family
cap:电机驱动,fam:嵌入式/硬件,belongs_to_family
cap:传感器,fam:嵌入式/硬件,belongs_to_family
